[2025-06-03 14:01:16] Задержка перед запуском: 1 сек
[2025-06-03 14:01:17] Приём по UART запущен
[2025-06-03 14:02:08] Пакет ID 1748942068 сохранён
[2025-06-03 14:02:11] Пакет ID 1748942071 сохранён
[2025-06-03 14:02:38] Пакет ID 1748942098 сохранён
[2025-06-03 14:04:44] Пакет ID 1748942224 сохранён
[2025-06-03 14:05:05] Пакет ID 1748942245 сохранён
[2025-06-03 14:05:14] Пакет ID 1748942254 сохранён
[2025-06-03 14:05:23] Пакет ID 1748942263 сохранён
[2025-06-03 14:05:29] Пакет ID 1748942269 сохранён
[2025-06-03 14:05:32] Пакет ID 1748942272 сохранён
[2025-06-03 14:06:35] Пакет ID 1748942335 сохранён
[2025-06-03 14:06:44] Пакет ID 1748942344 сохранён
[2025-06-03 14:06:47] Пакет ID 1748942347 сохранён
[2025-06-03 14:06:50] Пакет ID 1748942350 сохранён
[2025-06-03 14:07:05] Пакет ID 1748942365 сохранён
[2025-06-03 14:07:08] Пакет ID 1748942368 сохранён
[2025-06-03 14:07:11] Пакет ID 1748942371 сохранён
[2025-06-03 14:07:14] Пакет ID 1748942374 сохранён
[2025-06-03 14:07:17] Пакет ID 1748942377 сохранён
[2025-06-03 14:07:20] Пакет ID 1748942380 сохранён
[2025-06-03 14:07:23] Пакет ID 1748942383 сохранён
[2025-06-03 14:07:26] Пакет ID 1748942386 сохранён
[2025-06-03 14:07:35] Пакет ID 1748942395 сохранён
[2025-06-03 14:07:38] Пакет ID 1748942398 сохранён
[2025-06-03 14:07:44] Пакет ID 1748942404 сохранён
[2025-06-03 14:07:47] Пакет ID 1748942407 сохранён
[2025-06-03 14:07:50] Пакет ID 1748942410 сохранён
[2025-06-03 14:08:02] Пакет ID 1748942422 сохранён
[2025-06-03 14:08:05] Пакет ID 1748942425 сохранён
[2025-06-03 14:08:08] Пакет ID 1748942428 сохранён
[2025-06-03 14:08:11] Пакет ID 1748942431 сохранён
[2025-06-03 14:08:14] Пакет ID 1748942434 сохранён
[2025-06-03 14:08:17] Пакет ID 1748942437 сохранён
[2025-06-03 14:08:20] Пакет ID 1748942440 сохранён
[2025-06-03 14:08:23] Пакет ID 1748942443 сохранён
[2025-06-03 14:08:26] Пакет ID 1748942446 сохранён
[2025-06-03 14:08:29] Пакет ID 1748942449 сохранён
[2025-06-03 14:08:32] Пакет ID 1748942452 сохранён
[2025-06-03 14:08:35] Пакет ID 1748942455 сохранён
[2025-06-03 14:08:38] Пакет ID 1748942458 сохранён
[2025-06-03 14:08:53] Пакет ID 1748942473 сохранён
[2025-06-03 14:09:02] Пакет ID 1748942482 сохранён
[2025-06-03 14:09:05] Пакет ID 1748942485 сохранён
