[2025-06-02 22:29:10] Задержка перед запуском: 1 сек
[2025-06-02 22:29:11] Приём по UART запущен
[2025-06-02 22:29:40] Пакет ID 1748936990 сохранён
[2025-06-02 22:29:43] Пакет ID 1748936993 сохранён
[2025-06-02 22:29:46] Пакет ID 1748936996 сохранён
[2025-06-02 22:29:49] Пакет ID 1748936999 сохранён
[2025-06-02 22:29:52] Пакет ID 1748937002 сохранён
[2025-06-02 22:29:55] Пакет ID 1748937005 сохранён
[2025-06-02 22:29:58] Пакет ID 1748937008 сохранён
[2025-06-02 22:30:01] Пакет ID 1748937011 сохранён
[2025-06-02 22:30:04] Пакет ID 1748937014 сохранён
[2025-06-02 22:30:07] Пакет ID 1748937017 сохранён
[2025-06-02 22:30:10] Пакет ID 1748937020 сохранён
[2025-06-02 22:30:13] Пакет ID 1748937023 сохранён
[2025-06-02 22:30:16] Пакет ID 1748937026 сохранён
[2025-06-02 22:30:19] Пакет ID 1748937029 сохранён
[2025-06-02 22:30:22] Пакет ID 1748937032 сохранён
[2025-06-02 22:30:25] Пакет ID 1748937035 сохранён
[2025-06-02 22:30:28] Пакет ID 1748937038 сохранён
[2025-06-02 22:30:31] Пакет ID 1748937041 сохранён
[2025-06-02 22:30:34] Пакет ID 1748937044 сохранён
[2025-06-02 22:30:37] Пакет ID 1748937047 сохранён
[2025-06-02 22:30:40] Пакет ID 1748937050 сохранён
[2025-06-02 22:30:43] Пакет ID 1748937053 сохранён
[2025-06-02 22:30:46] Пакет ID 1748937056 сохранён
[2025-06-02 22:30:49] Пакет ID 1748937059 сохранён
[2025-06-02 22:30:52] Пакет ID 1748937062 сохранён
[2025-06-02 22:30:55] Пакет ID 1748937065 сохранён
[2025-06-02 22:30:58] Пакет ID 1748937068 сохранён
[2025-06-02 22:31:01] Пакет ID 1748937071 сохранён
[2025-06-02 22:31:04] Пакет ID 1748937074 сохранён
[2025-06-02 22:31:07] Пакет ID 1748937077 сохранён
[2025-06-02 22:31:10] Пакет ID 1748937080 сохранён
[2025-06-02 22:31:13] Пакет ID 1748937083 сохранён
[2025-06-02 22:31:16] Пакет ID 1748937086 сохранён
[2025-06-02 22:31:19] Пакет ID 1748937089 сохранён
