[2025-06-02 22:13:57] Задержка перед запуском: 1 сек
[2025-06-02 22:13:58] Приём по UART запущен
[2025-06-02 22:19:18] Пакет ID 1748936236 сохранён
[2025-06-02 22:19:21] Пакет ID 1748936239 сохранён
[2025-06-02 22:19:24] Пакет ID 1748936242 сохранён
[2025-06-02 22:19:27] Пакет ID 1748936245 сохранён
[2025-06-02 22:19:30] Пакет ID 1748936248 сохранён
[2025-06-02 22:19:33] Пакет ID 1748936251 сохранён
[2025-06-02 22:19:36] Пакет ID 1748936254 сохранён
[2025-06-02 22:19:39] Пакет ID 1748936257 сохранён
[2025-06-02 22:19:42] Пакет ID 1748936260 сохранён
[2025-06-02 22:19:45] Пакет ID 1748936263 сохранён
[2025-06-02 22:19:48] Пакет ID 1748936266 сохранён
[2025-06-02 22:19:51] Пакет ID 1748936269 сохранён
[2025-06-02 22:19:54] Пакет ID 1748936272 сохранён
[2025-06-02 22:19:57] Пакет ID 1748936275 сохранён
[2025-06-02 22:20:00] Пакет ID 1748936278 сохранён
[2025-06-02 22:20:03] Пакет ID 1748936281 сохранён
[2025-06-02 22:20:06] Пакет ID 1748936284 сохранён
[2025-06-02 22:20:09] Пакет ID 1748936287 сохранён
[2025-06-02 22:20:12] Пакет ID 1748936290 сохранён
[2025-06-02 22:20:15] Пакет ID 1748936293 сохранён
[2025-06-02 22:20:18] Пакет ID 1748936296 сохранён
[2025-06-02 22:20:21] Пакет ID 1748936299 сохранён
[2025-06-02 22:20:24] Пакет ID 1748936302 сохранён
[2025-06-02 22:20:27] Пакет ID 1748936305 сохранён
[2025-06-02 22:20:30] Пакет ID 1748936308 сохранён
[2025-06-02 22:20:33] Пакет ID 1748936311 сохранён
[2025-06-02 22:20:36] Пакет ID 1748936314 сохранён
[2025-06-02 22:20:39] Пакет ID 1748936317 сохранён
[2025-06-02 22:20:42] Пакет ID 1748936320 сохранён
[2025-06-02 22:20:45] Пакет ID 1748936323 сохранён
[2025-06-02 22:20:48] Пакет ID 1748936326 сохранён
[2025-06-02 22:20:51] Пакет ID 1748936329 сохранён
[2025-06-02 22:20:54] Пакет ID 1748936332 сохранён
[2025-06-02 22:20:57] Пакет ID 1748936335 сохранён
[2025-06-02 22:21:00] Пакет ID 1748936338 сохранён
[2025-06-02 22:21:03] Пакет ID 1748936341 сохранён
[2025-06-02 22:21:06] Пакет ID 1748936344 сохранён
[2025-06-02 22:21:09] Пакет ID 1748936347 сохранён
[2025-06-02 22:21:12] Пакет ID 1748936350 сохранён
[2025-06-02 22:21:15] Пакет ID 1748936353 сохранён
[2025-06-02 22:21:18] Пакет ID 1748936356 сохранён
[2025-06-02 22:21:21] Пакет ID 1748936359 сохранён
[2025-06-02 22:21:24] Пакет ID 1748936362 сохранён
[2025-06-02 22:21:27] Пакет ID 1748936365 сохранён
[2025-06-02 22:21:30] Пакет ID 1748936368 сохранён
[2025-06-02 22:21:33] Пакет ID 1748936371 сохранён
[2025-06-02 22:21:36] Пакет ID 1748936374 сохранён
[2025-06-02 22:21:39] Пакет ID 1748936377 сохранён
[2025-06-02 22:21:42] Пакет ID 1748936380 сохранён
[2025-06-02 22:21:45] Пакет ID 1748936383 сохранён
[2025-06-02 22:21:48] Пакет ID 1748936386 сохранён
[2025-06-02 22:21:51] Пакет ID 1748936389 сохранён
[2025-06-02 22:21:54] Пакет ID 1748936392 сохранён
[2025-06-02 22:21:57] Пакет ID 1748936395 сохранён
[2025-06-02 22:22:00] Пакет ID 1748936398 сохранён
[2025-06-02 22:22:03] Пакет ID 1748936401 сохранён
[2025-06-02 22:22:06] Пакет ID 1748936404 сохранён
[2025-06-02 22:22:09] Пакет ID 1748936407 сохранён
[2025-06-02 22:22:12] Пакет ID 1748936410 сохранён
[2025-06-02 22:22:15] Пакет ID 1748936413 сохранён
[2025-06-02 22:22:18] Пакет ID 1748936416 сохранён
[2025-06-02 22:22:21] Пакет ID 1748936419 сохранён
[2025-06-02 22:22:24] Пакет ID 1748936422 сохранён
[2025-06-02 22:22:27] Пакет ID 1748936425 сохранён
[2025-06-02 22:22:30] Пакет ID 1748936428 сохранён
[2025-06-02 22:22:33] Пакет ID 1748936431 сохранён
[2025-06-02 22:22:36] Пакет ID 1748936434 сохранён
[2025-06-02 22:22:39] Пакет ID 1748936437 сохранён
[2025-06-02 22:22:42] Пакет ID 1748936440 сохранён
[2025-06-02 22:22:45] Пакет ID 1748936443 сохранён
[2025-06-02 22:22:48] Пакет ID 1748936446 сохранён
[2025-06-02 22:22:51] Пакет ID 1748936449 сохранён
[2025-06-02 22:22:54] Пакет ID 1748936452 сохранён
[2025-06-02 22:22:57] Пакет ID 1748936455 сохранён
[2025-06-02 22:23:00] Пакет ID 1748936458 сохранён
[2025-06-02 22:23:03] Пакет ID 1748936461 сохранён
[2025-06-02 22:23:06] Пакет ID 1748936464 сохранён
[2025-06-02 22:23:09] Пакет ID 1748936467 сохранён
[2025-06-02 22:23:12] Пакет ID 1748936470 сохранён
[2025-06-02 22:23:15] Пакет ID 1748936473 сохранён
[2025-06-02 22:23:18] Пакет ID 1748936476 сохранён
[2025-06-02 22:23:21] Пакет ID 1748936479 сохранён
[2025-06-02 22:23:24] Пакет ID 1748936482 сохранён
[2025-06-02 22:23:27] Пакет ID 1748936485 сохранён
[2025-06-02 22:23:30] Пакет ID 1748936488 сохранён
[2025-06-02 22:23:33] Пакет ID 1748936491 сохранён
[2025-06-02 22:23:36] Пакет ID 1748936494 сохранён
[2025-06-02 22:23:39] Пакет ID 1748936497 сохранён
[2025-06-02 22:23:42] Пакет ID 1748936500 сохранён
[2025-06-02 22:23:45] Пакет ID 1748936503 сохранён
[2025-06-02 22:23:48] Пакет ID 1748936506 сохранён
[2025-06-02 22:23:51] Пакет ID 1748936509 сохранён
[2025-06-02 22:23:54] Пакет ID 1748936512 сохранён
[2025-06-02 22:23:57] Пакет ID 1748936515 сохранён
[2025-06-02 22:24:00] Пакет ID 1748936518 сохранён
[2025-06-02 22:24:03] Пакет ID 1748936521 сохранён
[2025-06-02 22:24:06] Пакет ID 1748936524 сохранён
[2025-06-02 22:24:09] Пакет ID 1748936527 сохранён
[2025-06-02 22:24:12] Пакет ID 1748936530 сохранён
[2025-06-02 22:24:15] Пакет ID 1748936533 сохранён
