[2025-06-03 13:20:34] Задержка перед запуском: 1 сек
[2025-06-03 13:20:35] Приём по UART запущен
[2025-06-03 13:21:54] Пакет ID 1748939205 сохранён
[2025-06-03 13:21:57] Пакет ID 1748939208 сохранён
[2025-06-03 13:22:00] Пакет ID 1748939211 сохранён
[2025-06-03 13:22:03] Пакет ID 1748939214 сохранён
[2025-06-03 13:22:06] Пакет ID 1748939217 сохранён
[2025-06-03 13:22:09] Пакет ID 1748939220 сохранён
[2025-06-03 13:22:12] Пакет ID 1748939223 сохранён
[2025-06-03 13:22:15] Пакет ID 1748939226 сохранён
[2025-06-03 13:22:18] Пакет ID 1748939229 сохранён
[2025-06-03 13:22:21] Пакет ID 1748939232 сохранён
[2025-06-03 13:22:24] Пакет ID 1748939235 сохранён
[2025-06-03 13:22:27] Пакет ID 1748939238 сохранён
[2025-06-03 13:22:30] Пакет ID 1748939241 сохранён
[2025-06-03 13:22:33] Пакет ID 1748939244 сохранён
[2025-06-03 13:22:36] Пакет ID 1748939247 сохранён
[2025-06-03 13:22:39] Пакет ID 1748939250 сохранён
[2025-06-03 13:22:42] Пакет ID 1748939253 сохранён
[2025-06-03 13:22:45] Пакет ID 1748939256 сохранён
[2025-06-03 13:22:48] Пакет ID 1748939259 сохранён
[2025-06-03 13:22:51] Пакет ID 1748939262 сохранён
[2025-06-03 13:22:54] Пакет ID 1748939265 сохранён
[2025-06-03 13:22:57] Пакет ID 1748939268 сохранён
[2025-06-03 13:23:00] Пакет ID 1748939271 сохранён
[2025-06-03 13:23:03] Пакет ID 1748939274 сохранён
[2025-06-03 13:23:06] Пакет ID 1748939277 сохранён
[2025-06-03 13:23:09] Пакет ID 1748939280 сохранён
[2025-06-03 13:23:12] Пакет ID 1748939283 сохранён
[2025-06-03 13:23:15] Пакет ID 1748939286 сохранён
[2025-06-03 13:23:18] Пакет ID 1748939289 сохранён
[2025-06-03 13:23:21] Пакет ID 1748939292 сохранён
[2025-06-03 13:23:24] Пакет ID 1748939295 сохранён
[2025-06-03 13:23:27] Пакет ID 1748939298 сохранён
[2025-06-03 13:23:30] Пакет ID 1748939301 сохранён
[2025-06-03 13:23:33] Пакет ID 1748939304 сохранён
[2025-06-03 13:23:36] Пакет ID 1748939307 сохранён
[2025-06-03 13:23:39] Пакет ID 1748939310 сохранён
[2025-06-03 13:23:42] Пакет ID 1748939313 сохранён
[2025-06-03 13:23:45] Пакет ID 1748939316 сохранён
[2025-06-03 13:23:48] Пакет ID 1748939319 сохранён
[2025-06-03 13:23:51] Пакет ID 1748939322 сохранён
[2025-06-03 13:23:54] Пакет ID 1748939325 сохранён
[2025-06-03 13:23:57] Пакет ID 1748939328 сохранён
[2025-06-03 13:24:00] Пакет ID 1748939331 сохранён
[2025-06-03 13:24:03] Пакет ID 1748939334 сохранён
[2025-06-03 13:24:06] Пакет ID 1748939337 сохранён
[2025-06-03 13:24:09] Пакет ID 1748939340 сохранён
[2025-06-03 13:24:12] Пакет ID 1748939343 сохранён
[2025-06-03 13:24:15] Пакет ID 1748939346 сохранён
[2025-06-03 13:24:18] Пакет ID 1748939349 сохранён
[2025-06-03 13:24:21] Пакет ID 1748939352 сохранён
[2025-06-03 13:24:24] Пакет ID 1748939355 сохранён
[2025-06-03 13:24:27] Пакет ID 1748939358 сохранён
[2025-06-03 13:24:30] Пакет ID 1748939361 сохранён
[2025-06-03 13:24:33] Пакет ID 1748939364 сохранён
[2025-06-03 13:24:36] Пакет ID 1748939367 сохранён
[2025-06-03 13:24:42] Пакет ID 1748939373 сохранён
[2025-06-03 13:24:45] Пакет ID 1748939376 сохранён
[2025-06-03 13:24:48] Пакет ID 1748939379 сохранён
[2025-06-03 13:24:51] Пакет ID 1748939382 сохранён
[2025-06-03 13:24:54] Пакет ID 1748939385 сохранён
[2025-06-03 13:24:57] Пакет ID 1748939388 сохранён
[2025-06-03 13:25:00] Пакет ID 1748939391 сохранён
[2025-06-03 13:25:03] Пакет ID 1748939394 сохранён
[2025-06-03 13:25:06] Пакет ID 1748939397 сохранён
[2025-06-03 13:25:30] Пакет ID 1748939421 сохранён
[2025-06-03 13:25:33] Пакет ID 1748939424 сохранён
[2025-06-03 13:25:39] Пакет ID 1748939430 сохранён
[2025-06-03 13:25:42] Пакет ID 1748939433 сохранён
[2025-06-03 13:25:45] Пакет ID 1748939436 сохранён
[2025-06-03 13:25:48] Пакет ID 1748939439 сохранён
[2025-06-03 13:25:51] Пакет ID 1748939442 сохранён
[2025-06-03 13:25:54] Пакет ID 1748939445 сохранён
[2025-06-03 13:25:57] Пакет ID 1748939448 сохранён
[2025-06-03 13:26:00] Пакет ID 1748939451 сохранён
[2025-06-03 13:26:06] Пакет ID 1748939457 сохранён
